facility,operational_capacity,hoc_population,jail_population,total_occupancy,percent_occupied,report_date
BARNSTABLE,300.0,81.0,97.0,178.0,59.0,2020-12-28
BERKSHIRE,292.0,54.0,81.0,135.0,46.0,2020-12-28
BRISTOL (Ash Street),206.0,12.0,67.0,79.0,38.0,2020-12-28
BRISTOL (Dartmouth),304.0,115.0,443.0,558.0,184.0,2020-12-28
BRISTOL (Women's Center),56.0,7.0,22.0,29.0,52.0,2020-12-28
DUKES,19.0,10.0,0.0,10.0,53.0,2020-12-28
ESSEX (Middleton),1291.0,203.0,703.0,906.0,70.0,2020-12-28
ESSEX (WIT),23.0,10.0,,10.0,43.0,2020-12-28
ESSEX (L.C.A.C.),340.0,60.0,,60.0,18.0,2020-12-28
FRANKLIN,144.0,64.0,85.0,149.0,103.0,2020-12-28
HAMPDEN (HOC / JAIL),1178.0,149.0,520.0,669.0,57.0,2020-12-28
HAMPDEN (W.M.C.A.C.),148.0,25.0,,25.0,17.0,2020-12-28
HAMPDEN (Women's Center),306.0,28.0,49.0,77.0,25.0,2020-12-28
HAMPSHIRE,287.0,31.0,81.0,112.0,39.0,2020-12-28
MIDDLESEX (Billerica),1501.0,157.0,381.0,538.0,36.0,2020-12-28
NORFOLK (Dedham / RT 128),620.0,83.0,280.0,363.0,59.0,2020-12-28
PLYMOUTH,1140.0,86.0,515.0,601.0,53.0,2020-12-28
SUFFOLK (Nashua Street),453.0,,463.0,463.0,102.0,2020-12-28
SUFFOLK (South Bay),1796.0,510.0,,510.0,28.0,2020-12-28
WORCESTER (HOC / JAIL),822.0,151.0,409.0,560.0,68.0,2020-12-28
BARNSTABLE,300.0,80.0,104.0,184.0,61.0,2020-12-21
BERKSHIRE,292.0,56.0,83.0,139.0,48.0,2020-12-21
BRISTOL (Ash Street),206.0,12.0,67.0,79.0,38.0,2020-12-21
BRISTOL (Dartmouth),304.0,120.0,447.0,567.0,187.0,2020-12-21
BRISTOL (Women's Center),56.0,7.0,25.0,32.0,57.0,2020-12-21
DUKES,19.0,7.0,0.0,7.0,37.0,2020-12-21
ESSEX (Middleton),1291.0,204.0,720.0,924.0,72.0,2020-12-21
ESSEX (WIT),23.0,11.0,,11.0,48.0,2020-12-21
ESSEX (L.C.A.C.),340.0,65.0,,65.0,19.0,2020-12-21
FRANKLIN,144.0,65.0,84.0,149.0,103.0,2020-12-21
HAMPDEN (HOC / JAIL),1178.0,152.0,525.0,677.0,57.0,2020-12-21
HAMPDEN (W.M.C.A.C.),148.0,27.0,,27.0,18.0,2020-12-21
HAMPDEN (Women's Center),306.0,27.0,47.0,74.0,24.0,2020-12-21
HAMPSHIRE,287.0,30.0,82.0,112.0,39.0,2020-12-21
MIDDLESEX (Billerica),1501.0,161.0,384.0,545.0,36.0,2020-12-21
NORFOLK (Dedham / RT 128),620.0,89.0,269.0,358.0,58.0,2020-12-21
PLYMOUTH,1140.0,81.0,526.0,607.0,53.0,2020-12-21
SUFFOLK (Nashua Street),453.0,,466.0,466.0,103.0,2020-12-21
SUFFOLK (South Bay),1796.0,533.0,,533.0,30.0,2020-12-21
WORCESTER (HOC / JAIL),822.0,150.0,412.0,562.0,68.0,2020-12-21
BARNSTABLE,300.0,82.0,107.0,189.0,63.0,2020-12-14
BERKSHIRE,292.0,55.0,90.0,145.0,50.0,2020-12-14
BRISTOL (Ash Street),206.0,11.0,70.0,81.0,39.0,2020-12-14
BRISTOL (Dartmouth),304.0,118.0,443.0,561.0,185.0,2020-12-14
BRISTOL (Women's Center),56.0,9.0,27.0,36.0,64.0,2020-12-14
DUKES,19.0,5.0,0.0,5.0,26.0,2020-12-14
ESSEX (Middleton),1291.0,202.0,711.0,913.0,71.0,2020-12-14
ESSEX (WIT),23.0,13.0,,13.0,57.0,2020-12-14
ESSEX (L.C.A.C.),340.0,73.0,,73.0,21.0,2020-12-14
FRANKLIN,144.0,62.0,93.0,155.0,108.0,2020-12-14
HAMPDEN (HOC / JAIL),1178.0,158.0,516.0,674.0,57.0,2020-12-14
HAMPDEN (W.M.C.A.C.),148.0,24.0,,24.0,16.0,2020-12-14
HAMPDEN (Women's Center),306.0,27.0,52.0,79.0,26.0,2020-12-14
HAMPSHIRE,287.0,31.0,87.0,118.0,41.0,2020-12-14
MIDDLESEX (Billerica),1501.0,156.0,385.0,541.0,36.0,2020-12-14
NORFOLK (Dedham / RT 128),620.0,97.0,275.0,372.0,60.0,2020-12-14
PLYMOUTH,1140.0,87.0,532.0,619.0,54.0,2020-12-14
SUFFOLK (Nashua Street),453.0,,458.0,458.0,101.0,2020-12-14
SUFFOLK (South Bay),1796.0,529.0,,529.0,29.0,2020-12-14
WORCESTER (HOC / JAIL),822.0,147.0,433.0,580.0,71.0,2020-12-14
BARNSTABLE,300.0,84.0,110.0,194.0,65.0,2020-12-07
BERKSHIRE,292.0,55.0,80.0,135.0,46.0,2020-12-07
BRISTOL (Ash Street),206.0,13.0,69.0,82.0,40.0,2020-12-07
BRISTOL (Dartmouth),304.0,120.0,438.0,558.0,184.0,2020-12-07
BRISTOL (Women's Center),56.0,9.0,27.0,36.0,64.0,2020-12-07
DUKES,19.0,7.0,0.0,7.0,37.0,2020-12-07
ESSEX (Middleton),1291.0,197.0,724.0,921.0,71.0,2020-12-07
ESSEX (WIT),23.0,14.0,,14.0,61.0,2020-12-07
ESSEX (L.C.A.C.),340.0,74.0,,74.0,22.0,2020-12-07
FRANKLIN,144.0,59.0,91.0,150.0,104.0,2020-12-07
HAMPDEN (HOC / JAIL),1178.0,152.0,522.0,674.0,57.0,2020-12-07
HAMPDEN (W.M.C.A.C.),148.0,25.0,,25.0,17.0,2020-12-07
HAMPDEN (Women's Center),306.0,26.0,57.0,83.0,27.0,2020-12-07
HAMPSHIRE,287.0,32.0,86.0,118.0,41.0,2020-12-07
MIDDLESEX (Billerica),1501.0,160.0,387.0,547.0,36.0,2020-12-07
NORFOLK (Dedham / RT 128),620.0,92.0,279.0,371.0,60.0,2020-12-07
PLYMOUTH,1140.0,88.0,540.0,628.0,55.0,2020-12-07
SUFFOLK (Nashua Street),453.0,,458.0,458.0,101.0,2020-12-07
SUFFOLK (South Bay),1796.0,547.0,,547.0,30.0,2020-12-07
WORCESTER (HOC / JAIL),822.0,152.0,438.0,590.0,72.0,2020-12-07
BARNSTABLE,300.0,82.0,104.0,186.0,62.0,2020-11-30
BERKSHIRE,292.0,54.0,83.0,137.0,47.0,2020-11-30
BRISTOL (Ash Street),206.0,12.0,68.0,80.0,39.0,2020-11-30
BRISTOL (Dartmouth),304.0,122.0,441.0,563.0,185.0,2020-11-30
BRISTOL (Women's Center),56.0,8.0,25.0,33.0,59.0,2020-11-30
DUKES,19.0,5.0,0.0,5.0,26.0,2020-11-30
ESSEX (Middleton),1291.0,194.0,731.0,925.0,72.0,2020-11-30
ESSEX (WIT),23.0,16.0,,16.0,70.0,2020-11-30
ESSEX (L.C.A.C.),340.0,82.0,,82.0,24.0,2020-11-30
FRANKLIN,144.0,58.0,92.0,150.0,104.0,2020-11-30
HAMPDEN (HOC / JAIL),1178.0,152.0,501.0,653.0,55.0,2020-11-30
HAMPDEN (W.M.C.A.C.),148.0,28.0,,28.0,19.0,2020-11-30
HAMPDEN (Women's Center),306.0,28.0,59.0,87.0,28.0,2020-11-30
HAMPSHIRE,287.0,31.0,86.0,117.0,41.0,2020-11-30
MIDDLESEX (Billerica),1501.0,160.0,378.0,538.0,36.0,2020-11-30
NORFOLK (Dedham / RT 128),620.0,95.0,281.0,376.0,61.0,2020-11-30
PLYMOUTH,1140.0,92.0,548.0,640.0,56.0,2020-11-30
SUFFOLK (Nashua Street),453.0,,466.0,466.0,103.0,2020-11-30
SUFFOLK (South Bay),1796.0,530.0,,530.0,30.0,2020-11-30
WORCESTER (HOC / JAIL),822.0,164.0,457.0,621.0,76.0,2020-11-30
BARNSTABLE,300.0,84.0,108.0,192.0,64.0,2020-11-23
BERKSHIRE,292.0,52.0,85.0,137.0,47.0,2020-11-23
